date,open,high,low,volume,close
2021-06-30,15776.900390625,15839.099609375,15708.75,262400.0,15721.5
2021-07-01,15755.0498046875,15755.5498046875,15667.0498046875,224900.0,15680.0
2021-07-02,15705.849609375,15738.349609375,15635.9501953125,254800.0,15722.2001953125
2021-07-05,15793.400390625,15845.9501953125,15762.0498046875,207000.0,15834.349609375
2021-07-06,15813.75,15914.2001953125,15801.0,391400.0,15818.25
2021-07-07,15819.599609375,15893.5498046875,15779.7001953125,329300.0,15879.650390625
2021-07-08,15855.400390625,15885.75,15682.900390625,307900.0,15727.900390625
2021-07-09,15688.25,15730.849609375,15632.75,243200.0,15689.7998046875
2021-07-12,15766.7998046875,15789.2001953125,15644.75,216300.0,15692.599609375
2021-07-13,15794.0,15820.7998046875,15744.599609375,246700.0,15812.349609375
2021-07-14,15808.7001953125,15877.349609375,15764.2001953125,0.0,15853.9501953125
2021-07-15,15872.150390625,15952.349609375,15855.0,284900.0,15924.2001953125
2021-07-16,15958.349609375,15962.25,15882.599609375,276300.0,15923.400390625
2021-07-19,15754.5,15836.900390625,15707.5,242100.0,15752.400390625
2021-07-20,15703.9501953125,15728.4501953125,15578.5498046875,274300.0,15632.099609375
2021-07-22,15736.599609375,15834.7998046875,15726.400390625,265300.0,15824.0498046875
2021-07-23,15856.7998046875,15899.7998046875,15768.400390625,294100.0,15856.0498046875
2021-07-26,15849.2998046875,15893.349609375,15797.0,267100.0,15824.4501953125
2021-07-27,15860.5,15881.5498046875,15701.0,311000.0,15746.4501953125
2021-07-28,15761.5498046875,15767.5,15513.4501953125,318600.0,15709.400390625
2021-07-29,15762.7001953125,15817.349609375,15737.7998046875,401600.0,15778.4501953125
2021-07-30,15800.599609375,15862.7998046875,15744.849609375,400000.0,15763.0498046875
2021-08-02,15874.900390625,15892.900390625,15834.650390625,244800.0,15885.150390625
2021-08-03,15951.5498046875,16146.900390625,15914.349609375,341300.0,16130.75
2021-08-04,16195.25,16290.2001953125,16176.150390625,427300.0,16258.7998046875
2021-08-05,16288.9501953125,16349.4501953125,16210.2998046875,418200.0,16294.599609375
2021-08-06,16304.400390625,16336.75,16223.2998046875,320100.0,16238.2001953125
2021-08-09,16281.349609375,16320.75,16179.0498046875,240500.0,16258.25
2021-08-10,16274.7998046875,16359.25,16202.25,288000.0,16280.099609375
2021-08-11,16327.2998046875,16338.75,16162.5498046875,277900.0,16282.25
2021-08-12,16303.650390625,16375.5,16286.900390625,280200.0,16364.400390625
2021-08-13,16385.69921875,16543.599609375,16376.2998046875,321900.0,16529.099609375
2021-08-16,16518.400390625,16589.400390625,16480.75,254000.0,16563.05078125
2021-08-17,16545.25,16628.55078125,16495.400390625,297400.0,16614.599609375
2021-08-18,16691.94921875,16701.849609375,16535.849609375,251800.0,16568.849609375
2021-08-20,16382.5,16509.55078125,16376.0498046875,350800.0,16450.5
2021-08-23,16592.25,16592.5,16395.69921875,275600.0,16496.44921875
2021-08-24,16561.400390625,16647.099609375,16495.30078125,275400.0,16624.599609375
2021-08-25,16654.0,16712.44921875,16617.5,265900.0,16634.650390625
2021-08-26,16627.94921875,16683.69921875,16603.400390625,253500.0,16636.900390625
2021-08-27,16642.55078125,16722.05078125,16565.599609375,217400.0,16705.19921875
2021-08-30,16775.849609375,16951.5,16764.849609375,283500.0,16931.05078125
2021-08-31,16947.5,17153.5,16915.849609375,464400.0,17132.19921875
2021-09-01,17185.599609375,17225.75,17055.05078125,301900.0,17076.25
2021-09-02,17095.400390625,17245.5,17059.69921875,242400.0,17234.150390625
2021-09-03,17262.44921875,17340.099609375,17212.19921875,261400.0,17323.599609375
2021-09-06,17399.349609375,17429.55078125,17345.55078125,228000.0,17377.80078125
2021-09-07,17401.55078125,17436.5,17287.0,243400.0,17362.099609375
2021-09-08,17375.75,17383.400390625,17254.19921875,252700.0,17353.5
2021-09-09,17312.849609375,17379.650390625,17302.69921875,241500.0,17369.25
2021-09-13,17363.55078125,17378.349609375,17269.150390625,241100.0,17355.30078125
2021-09-14,17420.349609375,17438.55078125,17367.05078125,230400.0,17380.0
