,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,K-S,calendar_days_to_maturity,mkt_price
642,NIFTY,24450,2025-04-24,75,1616.6,225,1691.95,22571.65,1878.3499999999985,48,1654.275
103,NIFTY,20650,2025-04-24,600,30.45,0,0.0,22571.65,1921.6500000000015,48,15.225
647,NIFTY,24500,2025-04-24,75,1685.45,150,1699.75,22571.65,1928.3499999999985,48,1692.6
97,NIFTY,20600,2025-04-24,75,34.15,225,34.6,22571.65,1971.6500000000015,48,34.375
652,NIFTY,24550,2025-04-24,75,1708.5,225,1788.85,22571.65,1978.3499999999985,48,1748.675
91,NIFTY,20550,2025-04-24,600,28.0,0,0.0,22571.65,2021.6500000000015,48,14.0
657,NIFTY,24600,2025-04-24,75,1769.35,75,1829.7,22571.65,2028.3499999999985,48,1799.525
85,NIFTY,20500,2025-04-24,825,31.1,1200,31.3,22571.65,2071.6500000000015,48,31.200000000000003
662,NIFTY,24650,2025-04-24,225,1800.65,225,1885.15,22571.65,2078.3499999999985,48,1842.9
79,NIFTY,20450,2025-04-24,5025,25.55,0,0.0,22571.65,2121.6500000000015,48,12.775
666,NIFTY,24700,2025-04-24,75,1837.6,75,1917.95,22571.65,2128.3499999999985,48,1877.775
73,NIFTY,20400,2025-04-24,225,28.2,75,28.35,22571.65,2171.6500000000015,48,28.275
670,NIFTY,24750,2025-04-24,75,1894.7,225,1996.8,22571.65,2178.3499999999985,48,1945.75
67,NIFTY,20350,2025-04-24,1050,27.1,525,27.65,22571.65,2221.6500000000015,48,27.375
674,NIFTY,24800,2025-04-24,225,1937.35,225,2006.25,22571.65,2228.3499999999985,48,1971.8
677,NIFTY,24850,2025-04-24,225,1989.4,225,2101.3,22571.65,2278.3499999999985,48,2045.3500000000001
680,NIFTY,24900,2025-04-24,75,2036.7,75,2133.8,22571.65,2328.3499999999985,48,2085.25
683,NIFTY,24950,2025-04-24,225,2083.6,225,2206.05,22571.65,2378.3499999999985,48,2144.825
686,NIFTY,25000,2025-04-24,75,2170.0,300,2186.9,22571.65,2428.3499999999985,48,2178.45
700,NIFTY,25050,2025-04-24,75,2178.15,225,2302.25,22571.65,2478.3499999999985,48,2240.2
703,NIFTY,25100,2025-04-24,225,2226.7,225,2352.35,22571.65,2528.3499999999985,48,2289.5249999999996
706,NIFTY,25150,2025-04-24,225,2274.1,225,2382.35,22571.65,2578.3499999999985,48,2328.225
709,NIFTY,25200,2025-04-24,225,2322.15,225,2452.0,22571.65,2628.3499999999985,48,2387.075
712,NIFTY,25250,2025-04-24,75,2358.0,225,2489.85,22571.65,2678.3499999999985,48,2423.925
715,NIFTY,25300,2025-04-24,75,2420.4,75,2536.5,22571.65,2728.3499999999985,48,2478.45
718,NIFTY,25350,2025-04-24,225,2467.8,75,2586.6,22571.65,2778.3499999999985,48,2527.2
720,NIFTY,25400,2025-04-24,225,2486.8,225,2644.75,22571.65,2828.3499999999985,48,2565.775
722,NIFTY,25450,2025-04-24,225,2556.9,225,2701.05,22571.65,2878.3499999999985,48,2628.9750000000004
724,NIFTY,25500,2025-04-24,75,2655.1,75,2660.0,22571.65,2928.3499999999985,48,2657.55
