,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,S-K,calendar_days_to_maturity,mkt_price
351,NIFTY,22900,2025-04-24,300,374.65,600,376.75,22571.65,328.34999999999854,48,375.7
253,NIFTY,22200,2025-04-24,75,812.55,150,815.7,22571.65,371.65000000000146,48,814.125
252,NIFTY,22200,2025-04-09,900,684.0,900,737.8,22571.65,371.65000000000146,33,710.9
357,NIFTY,22950,2025-04-09,1800,233.55,1650,269.05,22571.65,378.34999999999854,33,251.3
358,NIFTY,22950,2025-04-24,525,351.7,75,356.1,22571.65,378.34999999999854,48,353.9
246,NIFTY,22150,2025-04-24,75,842.9,75,863.8,22571.65,421.65000000000146,48,853.3499999999999
364,NIFTY,23000,2025-04-09,900,211.8,75,247.7,22571.65,428.34999999999854,33,229.75
365,NIFTY,23000,2025-04-24,75,328.15,525,329.6,22571.65,428.34999999999854,48,328.875
239,NIFTY,22100,2025-04-09,1650,759.25,900,815.3,22571.65,471.65000000000146,33,787.275
240,NIFTY,22100,2025-04-24,150,878.1,75,893.6,22571.65,471.65000000000146,48,885.85
376,NIFTY,23050,2025-04-09,1800,189.25,1500,227.65,22571.65,478.34999999999854,33,208.45
377,NIFTY,23050,2025-04-24,225,306.35,75,308.6,22571.65,478.34999999999854,48,307.475
233,NIFTY,22050,2025-04-24,225,917.35,150,942.0,22571.65,521.6500000000015,48,929.675
383,NIFTY,23100,2025-04-09,900,168.8,900,209.25,22571.65,528.3499999999985,33,189.025
384,NIFTY,23100,2025-04-24,150,285.6,225,287.45,22571.65,528.3499999999985,48,286.525
223,NIFTY,22000,2025-04-24,300,965.05,300,968.5,22571.65,571.6500000000015,48,966.775
222,NIFTY,22000,2025-04-09,900,836.55,1800,894.6,22571.65,571.6500000000015,33,865.575
391,NIFTY,23150,2025-04-24,525,265.5,75,267.6,22571.65,578.3499999999985,48,266.55
390,NIFTY,23150,2025-04-09,1800,151.5,1800,192.0,22571.65,578.3499999999985,33,171.75
216,NIFTY,21950,2025-04-24,75,996.35,75,1015.0,22571.65,621.6500000000015,48,1005.675
398,NIFTY,23200,2025-04-24,150,248.05,150,249.15,22571.65,628.3499999999985,48,248.60000000000002
397,NIFTY,23200,2025-04-09,900,81.85,1800,175.0,22571.65,628.3499999999985,33,128.425
210,NIFTY,21900,2025-04-24,150,1036.25,225,1052.9,22571.65,671.6500000000015,48,1044.575
405,NIFTY,23250,2025-04-24,150,228.9,300,229.95,22571.65,678.3499999999985,48,229.425
404,NIFTY,23250,2025-04-09,1800,118.2,1800,160.05,22571.65,678.3499999999985,33,139.125
204,NIFTY,21850,2025-04-24,75,1060.05,75,1098.7,22571.65,721.6500000000015,48,1079.375
411,NIFTY,23300,2025-04-09,900,90.05,1800,145.85,22571.65,728.3499999999985,33,117.94999999999999
412,NIFTY,23300,2025-04-24,525,212.55,300,213.9,22571.65,728.3499999999985,48,213.22500000000002
198,NIFTY,21800,2025-04-24,225,1111.7,75,1136.65,22571.65,771.6500000000015,48,1124.1750000000002
419,NIFTY,23350,2025-04-24,525,195.55,525,197.5,22571.65,778.3499999999985,48,196.525
418,NIFTY,23350,2025-04-09,1800,93.0,1800,133.35,22571.65,778.3499999999985,33,113.175
192,NIFTY,21750,2025-04-24,225,1148.7,225,1183.05,22571.65,821.6500000000015,48,1165.875
426,NIFTY,23400,2025-04-24,150,181.65,225,182.45,22571.65,828.3499999999985,48,182.05
425,NIFTY,23400,2025-04-09,900,75.7,1800,121.55,22571.65,828.3499999999985,33,98.625
186,NIFTY,21700,2025-04-24,225,1199.35,75,1224.0,22571.65,871.6500000000015,48,1211.675
433,NIFTY,23450,2025-04-24,525,166.15,150,171.1,22571.65,878.3499999999985,48,168.625
432,NIFTY,23450,2025-04-09,900,32.15,900,110.85,22571.65,878.3499999999985,33,71.5
180,NIFTY,21650,2025-04-24,75,1217.4,75,1279.6,22571.65,921.6500000000015,48,1248.5
440,NIFTY,23500,2025-04-24,300,154.1,1275,155.0,22571.65,928.3499999999985,48,154.55
439,NIFTY,23500,2025-04-09,900,60.7,1800,100.95,22571.65,928.3499999999985,33,80.825
174,NIFTY,21600,2025-04-24,75,1274.95,75,1310.7,22571.65,971.6500000000015,48,1292.825
447,NIFTY,23550,2025-04-24,600,140.25,75,141.45,22571.65,978.3499999999985,48,140.85
446,NIFTY,23550,2025-04-09,750,24.0,0,0.0,22571.65,978.3499999999985,33,12.0
